Nutrient,NotNutrient,Food,Group,Organ,Disease
0.013100436681222707,0,0,0,0,0,0.01003344481605351
0.013100436681222707,0,0,0,0,0,0.01003344481605351
0,0,0,0,0,0,0
0.6875,0,0.5333333333333333,0.28571428571428575,0.6666666666666666,0.45,0.5252525252525252
0.5454545454545455,0,0.27586206896551724,0,0,0.41379310344827586,0.3924050632911392
0.56,0,0.4827586206896552,0.2222222222222222,0,0.4444444444444444,0.4605263157894737
